ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
23951,JB271122,05/20/2018 12:30:00 PM,018XX S KOMENSKY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1012,010,24,29,01A,1149677,1890729,2018,05/27/2018 03:50:44 PM,41.856075642,-87.726094533,"(41.856075642, -87.726094533)"
23953,JB273286,05/22/2018 03:31:00 AM,030XX W BELMONT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION,false,false,1411,014,33,21,01A,1155737,1921124,2018,05/29/2018 03:59:39 PM,41.939362537,-87.703031512,"(41.939362537, -87.703031512)"
23954,JB247027,05/23/2018 02:19:00 PM,053XX S PAULINA ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0932,009,16,61,01A,1165920,1869215,2018,05/30/2018 03:52:11 PM,41.796708258,-87.667086872,"(41.796708258, -87.667086872)"
23955,JB277538,05/25/2018 01:29:00 AM,008XX N CAMBRIDGE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,CHA GROUNDS,false,false,1823,018,27,8,01A,1172522,1906024,2018,06/01/2018 03:50:54 PM,41.897572198,-87.641789773,"(41.897572198, -87.641789773)"
23956,JB277522,05/25/2018 01:26:00 AM,068XX S MORGAN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0724,007,17,68,01A,1170824,1859466,2018,06/01/2018 03:50:54 PM,41.769850162,-87.649387803,"(41.769850162, -87.649387803)"
23957,JB278940,05/25/2018 11:54:00 PM,091XX S ABERDEEN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2222,022,21,73,01A,1170590,1844293,2018,06/01/2018 03:50:54 PM,41.72821853,-87.650686805,"(41.72821853, -87.650686805)"
23958,JB279042,05/26/2018 01:26:00 AM,023XX W 70TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0832,008,17,66,01A,1161838,1858186,2018,06/02/2018 03:48:31 PM,41.766529029,-87.682362215,"(41.766529029, -87.682362215)"
23960,JB280075,05/26/2018 09:11:00 PM,008XX W 76TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0621,006,17,71,01A,1172142,1854464,2018,06/02/2018 03:48:31 PM,41.756095195,-87.644703378,"(41.756095195, -87.644703378)"
23961,JB278598,05/26/2018 01:37:00 PM,045XX W WEST END AVE,0110,HOMICIDE,FIRST DEGREE MURDER,VACANT LOT,false,false,1113,011,28,26,01A,1145967,1900587,2018,06/02/2018 03:48:31 PM,41.883198401,-87.739461917,"(41.883198401, -87.739461917)"
11243655,JB168387,02/28/2018 10:46:56 AM,018XX W 59TH ST,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,0715,007,15,67,01B,1164937,1865549,2018,06/20/2018 04:03:16 PM,41.786669148,-87.670795242,"(41.786669148, -87.670795242)"
